addr,web_add,company_info,company,pay,jobname
北京-朝阳区,https://jobs.51job.com/all/co4826503.html,,北京麦达数字技术服务有限公司,2-3.5万/月,Python开发工程师
北京-朝阳区,https://jobs.51job.com/all/co4596619.html,"岗位职责：,1. 参与移动web后台系统架构设计、开发、优化和维护；,2. 参与消息系统的架构设计、开发、优化和维护；,3. 编写相关技术文档，编写核心测试案例；,4. 跟踪和调研***热点，推进新技术在研发中使用。,岗位要求：,1. 一年或以上的python开发经验；,2. 一年或以上的web后端开发经验；,3. 熟悉Tornado/Flask/Bottle中的一个或多个框架，了解RESTful设计；,4. 熟悉Linux平台环境下的开发，掌握Linux常用命令；熟悉Shell编程的优先考虑；,5. 熟悉HTTP协议，了解socket编程；,6. 熟悉mysql/postgresql，了解sql优化的优先考虑；,7. 熟悉memcache/redis或其它nosql的使用；,8. 有MQ经验的优先考虑；,9. 熟悉nginx配置使用的优先考虑；,10. 熟悉javascript，html5等web前端开发的优先考虑。",北京中体骏彩信息技术有限公司,1.5-2万/月,Python开发工程师
空,空,空,奇虎360科技有限公司,空,空
北京,https://jobs.51job.com/all/co3321021.html,"岗位职责:,1、设计开发物联网平台系统框架，相关模块如连接、运营、报表统计等功能。,2. 设计开发实现物联网平台业务流程。,3、实现MQTT/CoAP/HTTPREST等物联网协议,4、运营网站/管理网站的功能实现。,基本条件:,1、 年龄：30岁以下，本科以上学历，；,2、了解docker运行机制,3、掌握Python语言，具有1年以上项目开发经验；,4、 至少掌握一种WEB框架，精通Django者优先考虑；,5、 熟悉Mysql数据库开发，有丰富的数据库查询和调优经验;,6、 掌握Linux系统使用，能够在linux环境下进行工作；,7、 良好的沟通技能和学习能力，团队合作精神，能独立承担工作；,8、 了解Java语言，熟悉MQTT/CoAP等物联网常用协议,岗位技能:,1、具有业务流程设计及业务数据分析能力；能够根据要求快速实现定制功能；快速把握需求的核心要点；,2、熟悉版本管理工具如svn/git等，了解敏捷管理方式，使用过快速集成相关工具。,3、善于团队协作,4、学习能力强，能够快速消化和理解新的编程语言和领域知识。",杭州东信北邮信息技术有限公司,1-1.5万/月,Python高级开发工程师
北京-朝阳区,https://jobs.51job.com/all/co4807726.html,,北京华信永杰软件开发有限责任公司,1.5-2万/月,Python工程师(职位编号：01)
北京-通州区,https://jobs.51job.com/all/co3905498.html,"1、通过算法对海量数据进行清洗、分析、挖掘；,2、通过爬虫对互联网上的数据进行采集、清洗、入库；,3、设计算法和模型对采集的数据进行清洗、入库、提取特征；,4、设计机器学习算法和模型预测特定的分类；,5、将分析结果实现数据可视化。,1、本科以上学历，1年以上软件开发经验；,2、精通Python语言，熟悉爬虫和Tensorflow优先；,3、熟悉数据库和SQL操作；,4、有自然语言处理和图形识别经验优先；,5、熟练掌握机器学习算法优先，尤其是神经网络，包括CNN和RNN。",北京维恩咨询有限公司,1-2.5万/月,Python开发工程师
北京-朝阳区,https://jobs.51job.com/all/co4684766.html,,北京智辉空间科技有限责任公司,2.5-3万/月,Python开发工程师
北京-朝阳区,https://jobs.51job.com/all/co4300023.html,"1、负责公司数据平台中与客户端相关接口的开发与维护；,2、负责服务端整体架构的设计、开发与维护；,3、参与数据产品的设计与方案讨论；,4、负责实现软件、应用程序代码，建立和完善开发文档。,岗位要求：,1、熟悉Python，熟悉Flask、Django等Web开发框架，3年以上相关WEB开发经验；,2、熟悉MySQL等关系型数据库，熟练掌握数据库性能优化；熟悉MongoDB、Redis等非关系型数据库，并有实际的项目开发经验,3、基础知识扎实，有一定的数据结构与算法基础；,4、熟悉Pandas, Numpy库；,5、有良好的技术视野，追求简洁优雅的技术解决方案，能够根据产品和用户的发展，扩展技术架构；,6、有良好的沟通能力，能和不同背景的成员沟通协作；,7、有数据平台开发经验者优先。",美利车金融,1.5-3万/月,Python高级开发工程师
北京-朝阳区,https://jobs.51job.com/all/co4528657.html,"职位描述：,1. 参与Python项目后端功能评估；,2. 准时完成既定的开发任务和文档编写；,3. 配合需求变更开发实现新功能；,4. 及时响应修复项目中的bug；,5. 维护服务器端代码及数据管理。,任职条件：,1. 正规院校全日制本科以上学历,计算机或数学相关专业毕业；,2. 3年以上互联网产品Python后台开发经验, 熟悉Django或Tornado框架；,3. 熟悉MySQL或Postgresql数据库, 有丰富的SQL优化经验；,4. 熟悉Redis,Mongodb, 有基于缓存, 任务队列等组件的开发经验；,5. 有大规模RESTful服务和RPC服务开发经验；,6. 扎实的计算机基础, 熟练掌握数据结构, 算法, 计算机网络, 操作系统等基础知识；,7. 熟悉Linux系统, 熟练使用Linux工具, Shell编程。",北京微迅联创科技有限公司,2.5-3.5万/月,Python开发工程师
北京-海淀区,https://jobs.51job.com/all/co4451327.html,,北京极客晨星科技发展有限公司,1.5-2.5万/月,Python开发工程师
北京-昌平区,https://jobs.51job.com/all/co2461295.html,,北京若森数字科技有限公司,1-1.5万/月,Python开发工程师（动漫）
北京-朝阳区,https://jobs.51job.com/all/co3870228.html,,深圳市云充吧科技有限公司,1-2万/月,Python开发工程师
北京-朝阳区,https://jobs.51job.com/all/co2665718.html,,奔讯电子科技（北京）有限公司,0.8-1万/月,C++/Python研发工程师
北京,https://jobs.51job.com/all/co110228.html,,北京天融信科技有限公司,1-1.5万/月,Python开发工程师
北京-海淀区,https://jobs.51job.com/all/co3496121.html,"岗位职责：,1、根据产品需求，完成产品功能的设计、编码、测试和发布；,2、根据产品和技术发展要求，完成系统开发所需平台的设计、开发和支持维护工作。,任职资格：,【基本条件】,1、本科及以上学历；,2、计算机、软件工程、通信工程、电子信息工程类相关专业；,3、在与业务相关的技术领域内工作时间至少3 年，通过独立工作而做出贡献。,【能力要求】,1、至少精通python/C/C++中一种语言编程，有2年以上编程经验；,2、精通linux操作系统；,3、熟悉数据库应用开发；,4、独立进行软件项目编码、单元测试或维护,主要负责实现模块的功能；,5、能够在高级软件工程师的指导下完成软件系统详细设计；,6、能独立解决模块开发或维护中一般问题,能按计划完成工作任务并保证质量；,7、能独立完成软件开发过程中相关文档编写。",北京中创信测科技股份有限公司,1.2-2万/月,业务平台开发（CC++/python）
北京-海淀区,https://jobs.51job.com/all/co4523551.html,,北京点石经纬科技有限公司,1.5-2.5万/月,Python开发工程师
